ev_bin,ev_min,ev_max,mean_ev,mean_expected_profit,mean_realized_roi_pct,total_profit,roi_pct,win_rate_pct,bets,profit_factor,false_positive_rate
0,0.5847081222173636,0.9571516442391317,0.8641597395679828,-0.13584026043201722,-4.444444444444445,-8.4,-4.444444444444445,57.14285714285714,189,0.8962962962962963,42.857142857142854
1,0.9572002148884038,1.0294082263031048,0.9973139210380938,-0.0026860789619061517,3.478723404255319,6.539999999999998,3.4787234042553186,64.8936170212766,188,1.0990909090909091,35.1063829787234
2,1.0294729075094462,1.0933193776724268,1.0605844717468071,0.06058447174680706,-11.75531914893617,-22.1,-11.75531914893617,57.97872340425532,188,0.720253164556962,42.02127659574468
3,1.0937417275813808,1.1473136791902707,1.1215518473615085,0.12155184736150842,-4.0212765957446805,-7.5600000000000005,-4.021276595744681,54.25531914893617,188,0.9120930232558141,45.744680851063826
4,1.1481308254808136,1.2118764551531913,1.17925124401589,0.17925124401589002,-7.914893617021277,-14.879999999999999,-7.914893617021276,48.93617021276596,188,0.8450000000000001,51.06382978723404
5,1.2120411606044594,1.2942672329888514,1.2514272765230943,0.25142727652309416,-15.452127659574469,-29.049999999999997,-15.452127659574465,38.297872340425535,188,0.7495689655172413,61.702127659574465
6,1.2942706135072448,1.3801895260527004,1.3365667082369455,0.3365667082369455,-0.11170212765957446,-0.20999999999999552,-0.11170212765957209,39.8936170212766,188,0.9981415929203541,60.1063829787234
7,1.3805502015785653,1.511901336548806,1.4451248552131342,0.4451248552131341,-9.920212765957446,-18.65,-9.920212765957446,31.914893617021278,188,0.8542968750000001,68.08510638297872
8,1.5127781589159042,1.7834859109700358,1.6296721148500617,0.6296721148500617,-12.627659574468085,-23.740000000000002,-12.627659574468087,25.0,188,0.8316312056737589,75.0
9,1.7867584890048513,5.365882172229198,2.3089544701816362,1.3089544701816358,-20.154255319148938,-37.89,-20.154255319148938,16.48936170212766,188,0.7586624203821656,83.51063829787235
