distance_decile,distance_min,distance_max,mean_distance_pp,mean_edge_pp,bets,roi_pct,win_rate_pct,profit_factor,false_positive_rate_pct
0,4.2989753759492544e-05,0.01965814211257455,0.9344077804831504,0.2514131839607499,189,-9.23280423280423,52.910052910052904,0.8039325842696629,47.08994708994709
1,0.019663030004565152,0.03993967402366361,2.9620331162157876,0.9536495973570027,188,-5.2393617021276615,53.72340425531915,0.8867816091954024,46.27659574468085
2,0.03996777598062462,0.05972619816629454,5.001687003848154,2.7815800058892926,188,-12.877659574468087,46.808510638297875,0.7578999999999999,53.191489361702125
3,0.05973392331200733,0.0789223856206035,6.952313999610908,4.988098656335434,188,-4.872340425531915,48.93617021276596,0.9045833333333334,51.06382978723404
4,0.07910894268205171,0.09782198084711635,8.81264855066121,6.788421258803651,188,-7.074468085106384,45.744680851063826,0.8696078431372549,54.25531914893617
5,0.09782903642463878,0.11952952296454811,10.909914994085517,9.105880651070377,188,-3.781914893617021,43.61702127659575,0.9329245283018868,56.38297872340425
6,0.11967245215703481,0.1442378132806102,13.207832091363239,11.629675844278625,188,-8.127659574468083,40.42553191489361,0.8635714285714287,59.57446808510638
7,0.14442132486115425,0.17233809362652647,15.715757440843179,14.722053553160249,188,-5.904255319148936,39.8936170212766,0.9017699115044249,60.1063829787234
8,0.1724006813229866,0.21233518069057195,19.081446039114617,17.51101092833607,188,-14.925531914893616,32.97872340425532,0.7773015873015872,67.02127659574468
9,0.2130367155152874,0.44771276871903215,26.532596310558525,24.04684649702163,188,-10.861702127659575,29.78723404255319,0.8453030303030304,70.2127659574468
