bin_type,bin_label,bets,wins,win_rate_pct,profit,roi_pct,profit_factor,mean_edge,mean_ev,mean_implied_prob,mean_model_prob
edge_decile,0-10%|-29.3--2.6pp,189,119,62.96296296296296,4.63,2.4497354497354498,1.066142857142857,-0.08071125072050328,0.8701280196924126,0.6473042078669485,0.5665929571464453
edge_decile,10-20%|-2.5-1.6pp,188,100,53.191489361702125,-19.36,-10.297872340425531,0.78,-0.0013940035824230772,0.9937914354961314,0.5550692892776815,0.5536752856952585
edge_decile,20-30%|1.6-4.8pp,188,94,50.0,-12.950000000000003,-6.888297872340426,0.8622340425531915,0.031960180363352776,1.092723302646373,0.5174084077446801,0.5493685881080328
edge_decile,30-40%|4.8-7.0pp,188,81,43.08510638297872,-34.669999999999995,-18.441489361702125,0.675981308411215,0.0592588975840704,1.1636606928781523,0.49218127472718537,0.5514401723112557
edge_decile,40-50%|7.0-9.1pp,188,85,45.21276595744681,-8.879999999999995,-4.723404255319146,0.9137864077669905,0.08113252173201732,1.2331327066028899,0.4731021144436113,0.5542346361756286
edge_decile,50-60%|9.1-11.6pp,188,81,43.08510638297872,-7.300000000000001,-3.882978723404255,0.9317757009345793,0.10380688507218373,1.3043250237296105,0.4416186261241386,0.5454255111963223
edge_decile,60-70%|11.6-14.1pp,188,76,40.42553191489361,-13.06,-6.946808510638299,0.8833928571428572,0.12788965956038875,1.3546463442735142,0.4323394497239147,0.5602291092843035
edge_decile,70-80%|14.2-16.9pp,188,73,38.82978723404255,-11.36,-6.042553191489362,0.9012173913043479,0.1540654841583592,1.4706764137813775,0.4024260366294795,0.5564915207878387
edge_decile,80-90%|16.9-21.0pp,188,55,29.25531914893617,-35.97,-19.132978723404253,0.729548872180451,0.18809087403832442,1.6133503452399183,0.36420610131942976,0.5522969753577542
edge_decile,90-100%|21.0-44.8pp,188,54,28.723404255319153,-17.020000000000003,-9.053191489361703,0.8729850746268657,0.2641297417614675,2.0981406182238995,0.3022286550955583,0.5663583968570258
