bin_type,bin_label,bets,wins,win_rate_pct,profit,roi_pct,profit_factor,mean_edge,mean_ev,mean_implied_prob,mean_model_prob
ev_multiplier,0.58-1.06,479,291,60.75156576200418,-15.630000000000003,-3.263048016701462,0.9168617021276596,-0.02586199788976003,0.9551539194502517,0.6260082007103851,0.6001462028206249
ev_multiplier,1.06-1.54,1054,456,43.26375711574953,-82.46000000000001,-7.8235294117647065,0.8621070234113711,0.10804227643871293,1.2582774969785544,0.4632974916326089,0.5713397680713218
ev_multiplier,1.54-2.02,242,58,23.96694214876033,-27.65,-11.425619834710742,0.8497282608695652,0.1922932110000783,1.7274565544859144,0.26962467636958515,0.46191788736966344
ev_multiplier,2.02-2.50,59,10,16.94915254237288,-5.699999999999999,-9.661016949152541,0.883673469387755,0.22253391172792986,2.234068613886873,0.18223622317523994,0.4047701349031698
ev_multiplier,2.50-2.98,28,2,7.142857142857142,-15.5,-55.35714285714286,0.40384615384615385,0.25832959065900796,2.692744115347778,0.15395721440336654,0.4122868050623746
ev_multiplier,2.98-3.45,7,0,0.0,-7.0,-100.0,0.0,0.2952386588418247,3.1333146632577136,0.13858573732523313,0.4338243961670578
ev_multiplier,3.45-3.93,4,0,0.0,-4.0,-100.0,0.0,0.2486524499930684,3.6462903475331796,0.09410309332909952,0.34275554332216795
ev_multiplier,3.93-4.41,3,0,0.0,-3.0,-100.0,0.0,0.388831304266644,4.162153417121835,0.12236652236652239,0.5111978266331663
ev_multiplier,4.41-4.89,4,0,0.0,-4.0,-100.0,0.0,0.34390688790122625,4.521231094631009,0.09762989203778677,0.44153677993901297
ev_multiplier,4.89-5.37,1,1,100.0,9.0,900.0,inf,0.43658821722291985,5.365882172229198,0.1,0.5365882172229198
