segment_type,segment_label,n_matches,roi_pct,log_loss,win_rate_pct,mean_edge_pp,mean_ev,corr_ev_profit,corr_edge_profit,profit
model_edge,D0|-24.7-0.4pp,189,-2.1904761904761907,0.6233911607159852,56.08465608465608,-4.90369417615687,0.8645829030783334,-0.04678135235331905,-0.010883592272429101,-4.140000000000001
model_edge,D1|0.5-4.3pp,188,-11.207446808510639,0.5627858343488052,50.53191489361703,2.672276292758401,1.022080090294588,-0.2249655723558947,0.0041921745702812605,-21.07
model_edge,D2|4.3-7.3pp,188,-8.882978723404253,0.5603012328061472,47.87234042553192,5.866087464762292,1.1233892988852279,-0.10741174734849174,-0.0725157192722352,-16.7
model_edge,D3|7.3-9.6pp,188,-13.063829787234042,0.5990036258872796,46.808510638297875,8.469308071897226,1.1853886751063192,-0.16701791009677458,0.02823879620707063,-24.559999999999995
model_edge,D4|9.6-11.6pp,188,-4.8936170212765955,0.6335009829863164,45.21276595744681,10.516294467915792,1.232992929072525,-0.056135357625581125,0.003970281779942817,-9.2
model_edge,D5|11.6-13.8pp,188,5.138297872340425,0.6736465895166925,46.808510638297875,12.740497167342962,1.2911764797645895,0.17585138450442878,0.06753898269010472,9.659999999999998
model_edge,D6|13.9-16.4pp,188,-15.154255319148932,0.6983273362958405,39.361702127659576,15.073350553448291,1.3680390350638698,-0.07136134051293266,0.0914068990271146,-28.489999999999995
model_edge,D7|16.4-18.9pp,188,-1.7659574468085102,0.6846986185187688,40.42553191489361,17.467182969196074,1.4478188305171702,0.030451278571671223,0.08430618977903119,-3.3199999999999994
model_edge,D8|18.9-23.0pp,188,-21.20744680851064,0.7081799557895276,31.914893617021278,20.74478928335963,1.5880195262878107,-0.15012942748908117,-0.06286154761794757,-39.87
model_edge,D9|23.0-45.6pp,188,-9.707446808510637,0.7499266677558217,29.78723404255319,28.008948315807476,2.0711166297949837,-0.012239164629834107,0.012213364669662639,-18.25
market_distance,D0|0.0-3.0pp,189,-7.830687830687831,0.5430798727164287,51.32275132275132,0.29278841642003683,0.9582819058245491,-0.12728272654452857,-0.06376936023997759,-14.8
market_distance,D1|3.0-5.4pp,188,-0.44148936170212677,0.613629887930831,51.06382978723404,2.8891763395874728,1.0338684151993722,0.014517114052993323,0.05811074465233137,-0.8299999999999983
market_distance,D2|5.5-7.8pp,188,-18.55851063829787,0.5869869939963384,46.27659574468085,4.502164380057453,1.0935531035636954,-0.2342280194998638,-0.11226501224413284,-34.89
market_distance,D3|7.8-9.9pp,188,-10.47340425531915,0.6207476513402834,46.27659574468085,8.088087013843321,1.1778732083357473,-0.012208004004425762,0.07199419794799171,-19.69
market_distance,D4|9.9-11.9pp,188,-5.696808510638298,0.6071773753593366,47.87234042553192,10.099570297634445,1.2290838746732315,-0.20322722666809845,-0.03720618765745822,-10.71
market_distance,D5|11.9-14.0pp,188,5.622340425531917,0.6888246771942856,46.808510638297875,12.291565942564787,1.2770017691401012,0.18386205133317451,-0.025908792252505898,10.570000000000004
market_distance,D6|14.0-16.4pp,188,-15.239361702127658,0.6878109549659718,40.42553191489361,14.303664238399353,1.3621408822883336,-0.10796509021092913,-0.05296176756785858,-28.649999999999995
market_distance,D7|16.4-18.9pp,188,-0.5478723404255325,0.6914144244526451,42.02127659574468,15.847141776109808,1.4110311843242416,0.06379841192353651,0.03250861365143722,-1.0300000000000011
market_distance,D8|18.9-23.0pp,188,-20.622340425531917,0.7048443326484664,32.4468085106383,20.55798985286727,1.5877395633719353,-0.15875706831639813,-0.04541223909809023,-38.77
market_distance,D9|23.0-45.6pp,188,-9.117021276595747,0.7496730217187231,30.319148936170215,27.75525128799319,2.0635320921934324,-0.01330883128947834,0.0006694043578509278,-17.140000000000004
model_prob_bin,-0.00-0.10,8,-100.0,0.08537352559827027,0.0,-1.292679190468237,0.8345591306605564,,,-8.0
model_prob_bin,0.10-0.20,62,-38.54838709677419,0.33652641351726326,9.67741935483871,3.5468174663891467,1.348046494571458,-0.20131941291788982,-0.23932746219623272,-23.9
model_prob_bin,0.20-0.30,117,2.632478632478631,0.5004833372993601,19.65811965811966,7.481914683086519,1.4964046182301711,0.001153459627011471,0.0020710095087381896,3.0799999999999983
model_prob_bin,0.30-0.40,176,-13.244318181818182,0.5816190869964631,23.863636363636363,11.11620286404167,1.536965503476412,-0.14186166735392275,-0.07989128840299191,-23.310000000000002
model_prob_bin,0.40-0.50,322,-12.121118012422361,0.654728048457544,30.434782608695656,13.32698025729235,1.4602911120517146,-0.043799133029066316,-0.03340354882871121,-39.03
model_prob_bin,0.50-0.60,434,-6.046082949308755,0.716017200933599,41.474654377880185,13.092948292917495,1.3553742735005907,0.058876825434134195,-0.015771833866845213,-26.24
model_prob_bin,0.60-0.70,328,-4.929878048780488,0.7141777155895478,53.35365853658537,11.663230366266962,1.205079858419038,-0.01833498143860357,-0.005052378259592529,-16.17
model_prob_bin,0.70-0.80,239,-2.5062761506276154,0.6871612212299295,63.17991631799163,12.626856673076187,1.1686271296837885,0.026966464140395136,0.05451021137132491,-5.99
model_prob_bin,0.80-0.90,163,-11.147239263803682,0.6847668763871362,69.32515337423312,11.047785329177131,1.0995844973587579,-0.11912320172710993,-0.11214430398991986,-18.17
model_prob_bin,0.90-1.00,32,5.593750000000001,0.22839975513438987,93.75,8.346012998447112,1.0425956763446074,-0.06414670161092408,-0.03319623295357931,1.7900000000000003
