variant,label,roi_pct,profit,bets,wins,win_rate_pct,profit_factor,max_drawdown,log_loss,brier_score,ece,mean_edge,mean_ev_multiplier,freq_extreme_edge,freq_extreme_ev,rating_change_mean,rating_change_std,rating_change_p95,clv_proxy_mean_edge,clv_beat_implied_pp,n_matches
baseline,Baseline Elo (G=1),-10.642480211081793,-161.33999999999997,1516,577,38.06068601583114,0.8281789137380192,164.97000000000017,0.6492530812874997,0.22894645706181296,0.12066160401960532,0.09131900977201374,1.337364180794779,0.25996810207336524,0.5167464114832536,14.14952176860527,7.735284505646336,27.129352386793023,0.12578464135825512,-3.339734557810503,1881
production_log,Production log margin,-9.851924331376386,-151.03,1533,609,39.726027397260275,0.8365476190476191,153.99000000000004,0.6493623859805948,0.22876003187731417,0.12120438992833363,0.092730642670452,1.3192186122816463,0.26528442317916,0.519404572036151,13.682883412774835,8.475746960598762,29.901368850601735,0.12413606796983703,-3.037737860799367,1881
method_a,Method A: 1+ln(gd),-8.95939751146038,-136.81,1527,642,42.04322200392927,0.8454124293785311,141.15999999999997,0.6542747200705546,0.22974066676233446,0.12202899452309567,0.09372502066236078,1.2814907171952963,0.278575225943647,0.5018607123870282,19.33441410458574,13.595084533214711,46.32190193786084,0.12680873154737105,-3.03243012922354,1881
method_b,Method B: sqrt(gd),-9.948567708333334,-152.81,1536,628,40.88541666666667,0.8317070484581498,157.16000000000003,0.6514663593080068,0.22906593089328875,0.12148407832848734,0.09347263396752983,1.29661903963365,0.26687931951089844,0.5119617224880383,17.57903785125207,11.25949857260673,38.463088966057704,0.12489587020799388,-3.2967570443245107,1881
method_c_538,Method C: 538-style,-9.173575129533678,-141.64,1544,634,41.06217616580311,0.8443516483516483,145.98999999999995,0.6515457399974235,0.2291411252156526,0.12182333653667213,0.09381189217571466,1.2979441562889757,0.2743221690590112,0.5130249867091973,16.174424979435223,11.053424888753314,37.853271197233184,0.12446753000903497,-3.114774777478485,1881
