k_factor,roi_pct,profit,bets,wins,win_rate_pct,profit_factor,max_drawdown,log_loss,brier_score,ece,mean_edge,mean_ev_multiplier,mean_edge_on_bets,mean_ev_on_bets,n_matches
10,-10.141384388807067,-137.71999999999997,1358,461,33.94698085419735,0.8464659977703456,140.52000000000012,0.6645305686600497,0.23645127386321554,0.12152879522291919,0.09195014772108177,1.4431918714569734,0.15605833397491656,1.651877661971564,1881
15,-10.611032531824613,-150.04000000000002,1414,498,35.21923620933522,0.8362008733624454,152.84000000000006,0.6576828728727184,0.23325349714524207,0.12013014040196628,0.09196251216254211,1.404631681359827,0.1430494273434863,1.566080517533914,1881
20,-10.149863760217984,-149.0,1468,538,36.64850136239782,0.8397849462365592,151.79999999999998,0.6538339105014864,0.23140944156002757,0.1207203621599419,0.09210747800615475,1.3776637265109462,0.13414807432451975,1.5061600656660448,1881
25,-9.821404682274249,-146.83,1495,565,37.79264214046823,0.8421182795698924,149.63000000000008,0.6515680251317859,0.2302574281851603,0.12140749871621757,0.09229042486169946,1.3576293681589597,0.12948400200485655,1.4690609129338645,1881
30,-9.856484529295589,-149.72,1519,585,38.51217906517446,0.8397002141327623,152.63000000000005,0.650257951062875,0.22951471448494026,0.12109666186376364,0.09246519977982873,1.3420623983094846,0.12629022313232435,1.4411466614153325,1881
35,-9.574869791666666,-147.07,1536,603,39.2578125,0.8423687031082531,150.07999999999998,0.6495833373758809,0.22904138373329896,0.12062490663519028,0.09261346227423281,1.3295475850559524,0.12428172193747693,1.4208338468932824,1881
40,-9.851924331376386,-151.03,1533,609,39.726027397260275,0.8365476190476191,153.99000000000004,0.6493623859805948,0.22876003187731417,0.12120438992833363,0.092730642670452,1.3192186122816463,0.12413606796983703,1.4092200504750911,1881
45,-9.970741222366712,-153.35000000000002,1538,613,39.85695708712614,0.8342162162162162,156.26000000000005,0.6494830979845106,0.22862370591526757,0.12082982439362801,0.09281838003267057,1.3105164268696674,0.12359381592908213,1.398016867891854,1881
50,-9.55497722836695,-146.86,1537,623,40.533506831489916,0.8393216630196938,151.87,0.6498718195877405,0.22860161903270304,0.1208921465656045,0.09288070220464704,1.303063892468393,0.12381808894501738,1.3903244984421834,1881
55,-9.855555555555556,-150.79000000000002,1530,625,40.849673202614376,0.8333812154696133,154.70000000000002,0.6504775189034849,0.2286722450088331,0.12093362593255264,0.0929221815715952,1.2965967183708056,0.12461219654485789,1.3857479222662794,1881
60,-9.441753926701569,-144.26999999999998,1528,630,41.2303664921466,0.8393429844097996,149.17999999999995,0.6512633318566,0.22881974844524847,0.12095854999678728,0.09294710563582984,1.290923466034939,0.1251100277149516,1.3811046640677687,1881
65,-8.984918032786885,-137.01999999999998,1525,637,41.77049180327869,0.8456981981981982,142.64999999999992,0.6522017258938951,0.22903202424980715,0.12097060269504399,0.09295915833408652,1.2859014109903484,0.12579358431121265,1.3775751653834487,1881
70,-8.450760079312623,-127.85999999999999,1513,639,42.23397224058162,0.8537070938215103,134.93,0.6532715812843413,0.22929955606837565,0.12097279427589636,0.09296134991493889,1.2814214443144503,0.12725890252657168,1.3770079670684525,1881
75,-8.443779108449768,-126.91,1503,640,42.581503659347966,0.8529432213209733,130.43,0.6544563459944949,0.22961471175664416,0.12125228524758326,0.0929560598578878,1.2773983248936247,0.12866449468512045,1.3767521765804254,1881
80,-8.013333333333335,-120.20000000000002,1500,646,43.06666666666666,0.8592505854800936,123.72000000000003,0.6557428212350598,0.22997128296124986,0.12110640954713281,0.09294512380011069,1.2737642030272156,0.12960736296745548,1.3755014014926537,1881
85,-7.278378378378379,-107.72000000000001,1480,644,43.513513513513516,0.8711483253588517,112.02000000000004,0.6571203335723405,0.23036416755686173,0.12106141588920033,0.09292993041416987,1.270464202028441,0.13202102178883707,1.3788696163635041,1881
90,-7.147318397827562,-105.27999999999999,1473,642,43.58452138492871,0.8733092659446451,109.42000000000004,0.6585801530560357,0.2307891399218088,0.12092295687122913,0.09291151251027166,1.267453328506903,0.13341846094574056,1.379631641384464,1881
95,-7.288934426229508,-106.71,1464,639,43.64754098360656,0.8706545454545455,110.75000000000004,0.6601150732181817,0.23124267812013446,0.12090207046413774,0.0928906261031803,1.2646942613443697,0.13503547391956747,1.381193842960795,1881
100,-7.240192704748797,-105.20000000000002,1453,635,43.702684101858225,0.8713936430317848,110.34000000000005,0.6617191007740509,0.23172182995346594,0.121143578264051,0.09286781591889165,1.262155735086455,0.13686916958808712,1.3836002618943066,1881
