scale_parameter,log_loss,brier_score
200.0,0.7231502868805779,0.25229358393158435
210.0,0.7143445639493127,0.25019018029438783
220.0,0.7067405181219197,0.2482957515617639
230.0,0.7001524372255521,0.246588864656204
240.0,0.6944280691276733,0.24505052016510065
250.0,0.6894416822454192,0.2436638432435507
260.0,0.6850887547720301,0.2424138183220943
270.0,0.6812818669536731,0.24128706082206663
280.0,0.6779474928745045,0.2402716201825819
290.0,0.675023472336848,0.2393568094372708
300.0,0.672457002244619,0.23853305736135688
310.0,0.6702030285908656,0.23779177986052605
320.0,0.6682229500779873,0.23712526781248422
330.0,0.6664835661346655,0.23652658901854628
340.0,0.6649562180518038,0.23598950229211768
350.0,0.6636160837955936,0.23550838201712976
360.0,0.662441595917364,0.23507815176371916
370.0,0.6614139586734216,0.23469422576004323
380.0,0.6605167455659573,0.2343524571957617
390.0,0.659735562428973,0.2340490924806307
400.0,0.6590577642084408,0.23378073070593103
410.0,0.6584722159410361,0.23354428766122157
420.0,0.6579690902811277,0.2333369638475331
430.0,0.6575396953804623,0.23315621600333844
440.0,0.6571763280784817,0.2329997317236848
450.0,0.6568721482808573,0.23286540680759144
460.0,0.6566210711408392,0.23275132501569035
470.0,0.6564176742516011,0.23265573996037273
480.0,0.6562571175380578,0.23257705888540758
490.0,0.6561350739270116,0.2325138281219795
500.0,0.6560476691931304,0.2324647200340521
510.0,0.6559914296394053,0.23242852128849154
520.0,0.6559632364856071,0.23240412230497903
530.0,0.6559602860156837,0.2323905077578144
540.0,0.6559800546820969,0.23238674801662115
550.0,0.6560202684873762,0.23239199142600042
560.0,0.6560788760651822,0.2324054573356032
570.0,0.656154024968554,0.2324264298021122
580.0,0.6562440407446861,0.23245425189343139
590.0,0.6563474084359153,0.23248832053313004
600.0,0.6564627561975395,0.23252808183001594
610.0,0.6565888407662049,0.2325730268437384
620.0,0.6567245345491963,0.23262268774264014
630.0,0.6568688141361002,0.23267663431478627
640.0,0.6570207500608612,0.23273447079726253
650.0,0.6571794976649601,0.23279583299252987
660.0,0.6573442889318818,0.23286038564389688
670.0,0.657514425179754,0.2329278200450839
680.0,0.6576892705133974,0.2329978518614382
690.0,0.6578682459494295,0.23307021914266246
700.0,0.6580508241387618,0.23314468050896944
710.0,0.6582365246201034,0.2332210134944043
720.0,0.6584249095461201,0.23329901303270684
730.0,0.6586155798308778,0.23337849007254424
740.0,0.65880817167328,0.23345927031024588
750.0,0.6590023534165085,0.2335411930293389
760.0,0.6591978227081003,0.2336241100372247
770.0,0.6593943039293457,0.23370788469027387
780.0,0.6595915458662363,0.2337923909994533
790.0,0.6597893195973026,0.23387751280935407
800.0,0.6599874165764201,0.233963143044164
