ev_threshold,bets,roi_pct,profit,win_rate_pct,false_positive_rate_pct,mispriced_bets,mispriced_rate_pct,mean_ev,mean_edge_pp
1.0,1595,-9.451410658307212,-150.75000000000003,40.626959247648905,59.373040752351095,947,59.373040752351095,1.3937247941118713,11.95748216662318
1.02,1533,-9.851924331376386,-151.03,39.726027397260275,60.273972602739725,924,60.273972602739725,1.4092200504750911,12.413606796983704
1.05,1442,-10.223994452149793,-147.43,38.141470180305134,61.858529819694866,892,61.858529819694866,1.432859057576071,13.05648129331114
