model,log_loss,brier_score,ece,tail_error,n_samples,midrange_ece
Model_A,0.7626764539505271,0.27987589596433443,0.14914926300737325,0.5494454363953412,1881,0.09577239393169207
Model_B,0.7733010163226722,0.28304565205362325,0.15438299260276037,0.5512156640886274,1881,0.09250750506188535
Model_C,0.760055445484971,0.278845162940152,0.1495347663078677,0.5461021872480257,1881,0.09942461915163203
