scenario,hfa_multiplier,alpha,log_loss,brier_score,ece,oci,tail_error,n_samples
no_hfa,0.0,0.0,0.6360565059095549,0.22301450218184385,0.07987358860532634,0.03700115386255052,0.3702208343839947,1881
no_hfa,0.0,0.1,0.6356338476781654,0.222795453187347,0.0802676723474329,0.035547736287782364,0.3715424938228889,1881
no_hfa,0.0,0.2,0.6352978892980664,0.2226158655957364,0.07759759992387764,0.03953783950765712,0.37490536692850124,1881
no_hfa,0.0,0.3,0.6350492883216231,0.222476625709315,0.07844640898252556,0.04603647118291982,0.3762069368894368,1881
no_hfa,0.0,0.4,0.6348886549902106,0.2223785454289063,0.07761107728052087,0.047317438832691114,0.37574570647155064,1881
no_hfa,0.0,0.5,0.6348165499685036,0.22232235556234992,0.0750345410121506,0.04293468515545152,0.3717706946190131,1881
no_hfa,0.0,0.6,0.634833482256714,0.22230869966172498,0.07536452005155589,0.04278463411613851,0.3753411905653615,1881
no_hfa,0.0,0.7,0.6349399073041858,0.2223381285069768,0.07344479607067589,0.04436114058392627,0.3734724415404892,1881
no_hfa,0.0,0.8,0.6351362253459641,0.22241109534569814,0.07313518784879346,0.04427177518438215,0.3752189632580286,1881
no_hfa,0.0,0.9,0.6354227799816803,0.22252795198706726,0.0718975465914853,0.03784721764760701,0.37683987808147157,1881
no_hfa,0.0,1.0,0.6357998570133271,0.2226889458325275,0.07271865415795492,0.04811302511376684,0.38007499399611366,1881
hfa_minus_50pct,0.5,0.0,0.6459685187962187,0.22772557944956687,0.10232125346535338,0.0553698820534157,0.3618911411442864,1881
hfa_minus_50pct,0.5,0.1,0.6454221590776261,0.22745753753358108,0.10274118799796592,0.04634998637992139,0.3631291996313479,1881
hfa_minus_50pct,0.5,0.2,0.6449616336424933,0.22722720881212782,0.10200537874184255,0.04696241789120452,0.3666532244789643,1881
hfa_minus_50pct,0.5,0.3,0.6445876623087944,0.22703556388072177,0.10187882286269759,0.049956629879925496,0.36787350526366885,1881
hfa_minus_50pct,0.5,0.4,0.6443009199294318,0.22688350681661007,0.10130756707300025,0.04576672123077146,0.3670759478913416,1881
hfa_minus_50pct,0.5,0.5,0.644102033907831,0.22677186786689693,0.10008829357363504,0.036736804341925375,0.3622538626432766,1881
