alpha,log_loss,brier_score,ece,oci,tail_error,n_samples
0.0,0.6587002379520167,0.23376018997192433,0.12766072949742976,0.07351186906630569,0.3540847676916788,1881
0.1,0.6580372533093553,0.23345306900450405,0.1266429945001416,0.07176305377754172,0.35524014117020564,1881
0.2,0.6574588695817096,0.23318135474835672,0.12561255427324083,0.06917911658730366,0.35891468438393564,1881
0.3,0.6569658558961817,0.2329460639352487,0.12467607869478918,0.07454397797636156,0.360054337070701,1881
0.4,0.6565589393910937,0.23274815619142028,0.12361989844913478,0.06649213256720811,0.3589315469986102,1881
0.5,0.6562388026084816,0.23258852658263027,0.12255227423351661,0.06392778796704333,0.35329439851787825,1881
0.6,0.6560060810279006,0.23246799850627262,0.12147367669527688,0.05794253706963515,0.3571666761282646,1881
0.7,0.6558613607681338,0.23238731706279506,0.12038460328136143,0.04716847203926539,0.35411329156407056,1881
0.8,0.6558051764819959,0.23234714303291465,0.11928557697790304,0.04566774087732422,0.35567201790686465,1881
0.9,0.6558380094674435,0.23234804757690625,0.1181771448554446,0.04457333982549536,0.35711827958209635,1881
1.0,0.6559602860156837,0.2323905077578144,0.1170598764252576,0.04361437070148494,0.3606939692691076,1881
