bin_type,bin_label,bets,wins,win_rate_pct,profit,roi_pct,profit_factor,mean_edge,mean_ev,mean_implied_prob,mean_model_prob
implied_probability,-0.00-0.10,36,2,5.555555555555555,-15.0,-41.66666666666667,0.5588235294117647,0.10266423955786147,2.2275169654407243,0.08599681622127443,0.18866105577913592
implied_probability,0.10-0.20,187,23,12.299465240641712,-46.75,-25.0,0.7149390243902439,0.12904754366469903,1.8421847943130272,0.15734618491124824,0.28639372857594725
implied_probability,0.20-0.30,230,58,25.217391304347824,-1.3300000000000054,-0.5782608695652197,0.992267441860465,0.1477867070890701,1.5898288623157792,0.2537649504299437,0.4015516575190137
implied_probability,0.30-0.40,343,107,31.195335276967928,-43.5,-12.682215743440233,0.8156779661016947,0.13211298556059237,1.3780656585181268,0.35339345169032826,0.4855064372509206
implied_probability,0.40-0.50,327,133,40.67278287461774,-31.660000000000004,-9.681957186544343,0.8368041237113403,0.10629735681734379,1.2361303294692765,0.453946920740497,0.5602442775578407
implied_probability,0.50-0.60,241,139,57.676348547717836,10.309999999999997,4.278008298755186,1.101078431372549,0.08475400734496091,1.1545681639392085,0.5535964316751577,0.6383504390201188
implied_probability,0.60-0.70,238,149,62.60504201680672,-8.059999999999999,-3.386554621848739,0.909438202247191,0.04295480259066638,1.0670326810105462,0.6484163486298924,0.6913711512205588
implied_probability,0.70-0.80,169,116,68.63905325443787,-14.869999999999997,-8.798816568047336,0.7194339622641509,0.022103371365280802,1.0301406885113977,0.7529167028497021,0.7750200742149829
implied_probability,0.80-0.90,84,67,79.76190476190477,-5.270000000000005,-6.27380952380953,0.6899999999999998,-0.009495677623769665,0.988948278690886,0.8494194112937032,0.8399237336699334
implied_probability,0.90-1.00,26,24,92.3076923076923,0.19000000000000195,0.7307692307692382,1.095000000000001,-0.040507246552009185,0.9557356965482544,0.9159763435338993,0.87546909698189
